LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Ms.,Other,Recycled,,,Haley Dorsey,LC2 2DN,"P.O. Box 199, 2116 Penatibus Road",366
Mrs.,Other,Dead,,,Hadassah Bradley,PY8T 3JJ,"P.O. Box 598, 2428 Bibendum Road",78
Ms.,Email,In Process,,,Kellie Ford,IW53 0DJ,"Ap #705-7669 Orci, Rd.",108
Ms.,Self Generated,In Process,,,Sade Dyer,SV1 3PC,920-9341 Sed Road,213
Mr.,Word of mouth,Dead,,,Isadora Sharp,R64 7JV,1468 Orci Street,284
Mrs.,Public Relations,New,,,Haley Rhodes,SG0O 0VQ,"P.O. Box 611, 6869 Amet St.",186
Mr.,Conference,In Process,,,Hamilton Hammond,T2Q 7EE,Ap #335-705 Facilisis Street,468
Mr.,Partner,New,,,Hermione Snider,Q4Q 4QX,Ap #274-4696 Nibh Road,13
Mr.,Web Site,Dead,,,Jakeem Lewis,T00 9XO,"P.O. Box 664, 7105 Pellentesque Avenue",317
Mrs.,Self Generated,Recycled,,,Dawn Perkins,IV1R 8GB,Ap #364-1041 Eget Av.,36
Mr.,Conference,Assigned,,,Amena Bowman,T65 0PX,3464 Nascetur Rd.,376
Ms.,Direct Mail,Converted,,,Holly Daniels,OQ7X 0NI,9338 Erat Rd.,475
Ms.,Public Relations,New,,,Jolie Leblanc,YE65 7TR,357-8356 Sagittis Road,422
Ms.,Email,New,,,Allistair Guerra,XE8 4VL,"Ap #646-6302 Ornare, Street",51
Mrs.,Word of mouth,Recycled,,,Noelani Bell,PG3X 4VN,779-3469 Lacus. Road,152
Mrs.,Word of mouth,In Process,,,Martina Barrett,UX3B 2BQ,425-5819 Massa Street,310
Mrs.,Email,In Process,,,Bree Harris,Y62 6EX,561-4315 Leo St.,191
Ms.,Campaign,Converted,,,Cassandra Mosley,C65 2QB,837-7230 Nisi Rd.,51
Mr.,Other,Recycled,,,Dustin Melton,V8X 5GU,449-7252 Ornare Rd.,315
Mr.,Public Relations,Assigned,,,Wynne Deleon,G33 9GN,7559 Dolor Rd.,236
Mr.,Direct Mail,Assigned,,,Audra Calhoun,A26 8XR,"P.O. Box 291, 9247 Urna Road",402
Mrs.,Employee,Converted,,,Ferdinand Saunders,X8X 3XE,408-9562 Et St.,315
Mrs.,Direct Mail,New,,,Wang Hebert,B95 7ZM,"Ap #829-7665 Ullamcorper, Street",224
Ms.,Public Relations,New,,,Baxter Beach,YP24 9JS,2676 Dictum St.,250
Mr.,Partner,New,,,Malcolm Hernandez,B0 8VM,"P.O. Box 900, 5219 Donec Road",16
Mr.,Trade Show,Assigned,,,Jasmine Allison,S6A 2MW,838-175 Magna. Street,375
Mrs.,Self Generated,Assigned,,,Jerry Mccarthy,SN2 2CH,"P.O. Box 552, 8815 Sollicitudin St.",449
Mr.,Public Relations,Dead,,,Brennan Smith,L3I 8GL,Ap #668-8479 Est. St.,194
Ms.,Direct Mail,Recycled,,,Ruth Byrd,L8 7EC,1566 Ipsum St.,168
Mrs.,Campaign,Recycled,,,Griffin Leonard,G2Y 2TV,447-2729 Velit. St.,22
Mr.,Existing Customer,Recycled,,,Stuart Buckley,TQ9A 7TK,9814 Arcu. Av.,339
Mrs.,Self Generated,Converted,,,Hayden Avila,AV34 3PP,"Ap #497-1760 Vulputate, St.",80
Ms.,Trade Show,In Process,,,Sawyer Banks,ZZ4 1FU,4571 Donec Road,345
Mrs.,Partner,Converted,,,Keely Koch,A1S 8ZA,Ap #953-8507 Sagittis Rd.,429
Mr.,Employee,Recycled,,,Moses Reese,IH74 8FK,"932-6280 Ut, Road",359
Mr.,Employee,Dead,,,Ursa Brooks,C4 3XT,890-8658 Nulla Street,57
Mr.,Existing Customer,Assigned,,,Aladdin Ellis,TH4 6OL,5212 Cum Avenue,154
Ms.,Public Relations,Converted,,,Kimberly Hodges,QD5 3UC,585-9454 Cursus Avenue,373
Mr.,Self Generated,Dead,,,Sylvester Trevino,G7 3VK,"4871 Sem, Road",88
Mr.,Campaign,Assigned,,,Adara Greer,ES1G 7MQ,380 Dignissim Ave,246
Mrs.,Web Site,Converted,,,Dalton Alvarado,U0S 5PL,"P.O. Box 449, 9305 Nunc. Rd.",416
Ms.,Web Site,Dead,,,Cole Wilkinson,IS6 7UP,Ap #250-4593 Dignissim. St.,71
Mr.,Trade Show,New,,,Cora Dickson,DM6 7LT,"P.O. Box 759, 2959 Nec Avenue",275
Ms.,Employee,Assigned,,,Ulla Frye,KE82 5DO,"P.O. Box 509, 4709 Eu Avenue",156
Mrs.,Trade Show,Assigned,,,Caldwell Gonzalez,MU39 6BL,Ap #762-6521 Tellus. Av.,15
Ms.,Partner,Recycled,,,Hall Soto,KW0P 8DX,"898-5527 Quis, Road",478
Mr.,Word of mouth,Converted,,,Lamar Mcgee,A8X 9FJ,945 Lacus. St.,440
Mr.,Direct Mail,Converted,,,Ferris Wheeler,C9O 8FE,Ap #936-3267 Enim. Road,236
Mrs.,Employee,Dead,,,Raya Goff,W4 8HG,Ap #633-5601 Turpis Av.,101
Ms.,Campaign,Assigned,,,Gannon Kirkland,Y33 7MY,Ap #432-6286 Etiam Street,444
Mr.,Other,New,,,Dante Little,H0 5JY,"3641 Vel, Ave",58
Ms.,Direct Mail,Assigned,,,Anjolie Davis,Y77 0UF,"P.O. Box 440, 1400 Nisi. Av.",491
Mrs.,Word of mouth,Recycled,,,Damon Potts,G9J 1ZW,852-3633 Eros St.,215
Mrs.,Web Site,Assigned,,,Jorden Vazquez,R9 2EH,"P.O. Box 796, 3965 Quam, Rd.",224
Mrs.,Other,Assigned,,,Miranda Cardenas,Q2X 9RD,Ap #209-8682 Faucibus Road,43
Mr.,Employee,Assigned,,,Edward Ratliff,V6 6GX,974-8160 Dictum. Avenue,517
Mr.,Employee,Dead,,,Lucy Henson,M1 5XD,"P.O. Box 481, 3044 Venenatis Rd.",243
Mr.,Public Relations,Converted,,,Ima Banks,RQ6L 3CQ,332-383 Ante. Rd.,515
Mr.,Email,Assigned,,,Bevis Moss,XY3U 5PC,Ap #104-6273 Aliquam Street,4
Ms.,Word of mouth,Converted,,,Ivor Garcia,M72 5AG,1257 Sagittis. Road,361
Ms.,Direct Mail,Assigned,,,Cameran Robles,O94 2KH,Ap #530-4770 Rutrum Av.,245
Mr.,Conference,Recycled,,,Moana Nicholson,K0D 6DK,"P.O. Box 744, 2696 Enim. Rd.",384
Mrs.,Employee,In Process,,,Gareth Jackson,EJ19 6WZ,"P.O. Box 116, 4806 Ullamcorper Avenue",352
Ms.,Existing Customer,In Process,,,Quinlan Blevins,L62 4GE,Ap #370-1771 Proin Avenue,22
Ms.,Email,Assigned,,,Lucas Castillo,R8V 1CD,Ap #816-2161 Fusce Ave,241
Mrs.,Employee,Recycled,,,Robin Ward,H4L 1IG,3193 Ligula. Rd.,395
Mrs.,Self Generated,Dead,,,Constance Fuller,D71 1ZP,467-2703 Posuere St.,206
Mr.,Public Relations,Converted,,,Fritz Shaffer,UB60 9EA,613-8465 Orci Rd.,424
Mr.,Partner,New,,,Leah Maddox,X5D 2UI,649-2988 Hendrerit Street,460
Mrs.,Other,Recycled,,,Fiona Haynes,A17 4MZ,2595 Gravida Road,26
Mrs.,Public Relations,New,,,Herrod Mcintosh,E5 5DR,"5973 Id, St.",398
Mrs.,Word of mouth,New,,,Kerry Cook,V3 1HL,3786 Risus. Rd.,51
Mr.,Employee,Recycled,,,Dorian Grimes,S7 7KT,"3056 In, Av.",207
Mr.,Trade Show,In Process,,,Pandora Price,YS8J 3RH,1001 Tellus. Av.,530
Mr.,Direct Mail,Dead,,,Doris Carney,Q42 6VJ,200-4779 Nibh. St.,390
Ms.,Cold Call,Recycled,,,Delilah Holder,ZZ0 7RS,"P.O. Box 762, 5520 Ultrices. Rd.",496
Mr.,Email,In Process,,,Wang Levine,LX59 2AM,Ap #897-9572 Mi St.,291
Mr.,Campaign,New,,,Levi Kerr,P34 7TO,"P.O. Box 341, 9194 Donec Avenue",294
Mrs.,Conference,Recycled,,,Scarlett Mccoy,MQ2 2LF,Ap #710-1000 Quam Road,270
Mr.,Other,Assigned,,,Harper Burgess,N0R 6OG,"234-8669 Sem, Rd.",492
Mrs.,Campaign,New,,,Melanie Johnston,YA4F 4DT,7099 Netus St.,337
Ms.,Trade Show,New,,,Rama Lambert,TJ1 1OF,"P.O. Box 372, 4176 Feugiat Road",262
Mrs.,Direct Mail,Recycled,,,Chester Lee,K7 6FE,827 Justo Rd.,517
Mr.,Self Generated,New,,,Tanner Fuentes,QV00 7AG,Ap #486-6163 Nullam Street,320
Mr.,Trade Show,Assigned,,,Iris Hancock,LQ5 9WJ,540 Lorem Avenue,483
Mr.,Cold Call,In Process,,,Farrah Salazar,AN08 9BO,Ap #802-8228 Placerat. Street,509
Mrs.,Employee,Converted,,,Tasha Beasley,YS90 7SW,886 Enim Avenue,528
Mrs.,Word of mouth,In Process,,,Cooper Kline,PA4 3WI,3797 Tellus St.,407
Mrs.,Existing Customer,In Process,,,Taylor Ferrell,IB7D 5HB,"P.O. Box 146, 1417 Convallis Rd.",385
Mr.,Partner,New,,,Shoshana Henson,A1 5XV,"925-8731 Eu, St.",209
Ms.,Conference,New,,,Margaret Armstrong,J3B 2QL,2099 Nec Av.,262
Mr.,Conference,Recycled,,,Jordan Mooney,SE4H 4OC,944-3299 Sed Street,222
Ms.,Existing Customer,Converted,,,Meghan Hull,V69 2EM,5049 Risus. Ave,240
Mrs.,Cold Call,In Process,,,Beck Norman,Q7 7BU,985-3519 Aliquam St.,132
Mr.,Public Relations,Recycled,,,Isaiah Silva,FB0 2XI,Ap #986-8346 Iaculis St.,295
Mr.,Direct Mail,New,,,Rinah Delgado,X2 7IO,508-5180 Ipsum St.,318
Mrs.,Existing Customer,Converted,,,Buckminster Ortiz,U63 2IB,7761 Mauris St.,364
Ms.,Email,Dead,,,Rudyard Horton,ED4 8GF,208-2429 Placerat Av.,156
Mrs.,Campaign,New,,,Yoshi Boyer,B4 6XO,185-5984 Lorem St.,400
Mrs.,Trade Show,New,,,Jane Terrell,DI6 5IE,"886-373 Ornare, Rd.",299
Mrs.,Campaign,Dead,,,Omar Bright,T6 7ZK,580-4398 Aliquam Street,281
Mrs.,Partner,Converted,,,Cody Camacho,D6 7AP,474-4166 Mattis Av.,44
Ms.,Campaign,Converted,,,Kathleen Cannon,WX0T 8UQ,289-2757 Ridiculus St.,186
Mrs.,Direct Mail,Dead,,,Russell Murray,A3D 7IY,Ap #129-6253 Natoque St.,263
Ms.,Public Relations,Converted,,,Selma Calhoun,A36 4VH,Ap #851-3986 Morbi St.,318
Mr.,Other,Converted,,,Iola Brown,M7E 7VZ,"P.O. Box 776, 9333 Augue St.",244
Mrs.,Self Generated,Recycled,,,Isaac Cook,M82 8HI,104-8295 Sed Street,468
Ms.,Other,Dead,,,Edward Terrell,K1 0DD,"Ap #941-7030 Vulputate, Rd.",65
Ms.,Cold Call,Recycled,,,Galena Gould,Q9 0II,"P.O. Box 808, 8868 Vel St.",449
Ms.,Campaign,In Process,,,Bernard Foreman,CN20 7PK,"P.O. Box 764, 6385 Quisque Ave",365
Mr.,Campaign,New,,,Macon Anderson,KF36 5VB,"P.O. Box 259, 2337 Orci, Ave",331
Ms.,Email,New,,,Louis Poole,B42 8FJ,8944 Per Road,378
Mrs.,Public Relations,Converted,,,Travis Kidd,R1W 0MO,Ap #651-1891 Vitae Rd.,532
Mr.,Trade Show,Assigned,,,Cade Rose,G9V 7VR,7821 Sodales Ave,268
Mr.,Word of mouth,Converted,,,Jonah Spence,CB4T 0VN,2341 Diam. St.,232
Mrs.,Email,Dead,,,Alvin Duran,J2 5CI,"P.O. Box 581, 1125 Vestibulum, Rd.",218
Mr.,Campaign,Converted,,,Xenos Adams,AY6V 2MD,"P.O. Box 362, 7984 Nec Av.",187
Ms.,Self Generated,New,,,Andrew Brooks,AG9 2TQ,"P.O. Box 341, 7359 In Rd.",406
Mrs.,Conference,In Process,,,Abbot Manning,HU7J 6MB,643-1339 Mollis St.,132
Mrs.,Trade Show,Recycled,,,Malachi Sellers,DM6 1SB,2001 Lacus. Av.,25
Mr.,Conference,In Process,,,Honorato Hamilton,I72 9FI,515-6117 Fusce Rd.,376
Ms.,Word of mouth,In Process,,,George Bowen,X4 7AR,837-9036 Ornare St.,238
Ms.,Employee,In Process,,,Velma Weber,W15 5NN,"P.O. Box 325, 8124 Egestas Avenue",314
Mrs.,Direct Mail,Converted,,,Emerald Parks,Q0 8EG,3133 Diam Ave,492
Mr.,Direct Mail,In Process,,,Juliet Conrad,E9F 6RP,Ap #415-7111 Nulla. Avenue,226
Ms.,Email,Recycled,,,Venus Marquez,C7 8YD,706-808 Luctus St.,185
Mrs.,Public Relations,In Process,,,Walker Hall,WC8 5LB,1299 Nulla St.,382
Ms.,Other,Dead,,,Ryder Park,VV4 4FL,470-8549 Urna Ave,279
Mrs.,Existing Customer,Recycled,,,Ezra Patrick,Z1 1CG,386 A Av.,228
Ms.,Public Relations,Converted,,,Reed Lucas,GS22 7NW,"P.O. Box 768, 9893 Magnis Ave",221
Mr.,Campaign,Assigned,,,Marah Delacruz,Q04 1MN,"P.O. Box 191, 4048 Mauris St.",362
Mrs.,Partner,Recycled,,,Patrick Wong,Z7 7SZ,Ap #105-7658 Mollis Av.,378
Ms.,Employee,New,,,Quon Payne,N9C 1NV,Ap #419-3936 Dictum Av.,65
Mr.,Partner,Converted,,,Cyrus Valentine,Y71 8JW,404-2757 Cursus Rd.,128
Ms.,Campaign,New,,,Yvette Harrington,J87 6SK,Ap #693-640 Donec Rd.,519
Ms.,Direct Mail,Dead,,,Ava Day,I32 4QX,2952 Risus. Street,417
Mrs.,Web Site,Dead,,,Kaye Tanner,V6 0QW,9241 Mauris Road,429
Ms.,Employee,Converted,,,Yoshi Suarez,P52 0FM,"P.O. Box 805, 3209 Lacinia. Road",150
Mrs.,Trade Show,Recycled,,,Tamekah Farley,Q29 5SB,3973 Et Road,344
Mrs.,Web Site,Recycled,,,Blythe Velasquez,YO1K 6QL,6066 Lorem Street,82
Mrs.,Email,New,,,Jerome Barron,Y4 1RN,"Ap #185-7282 Vel, Street",221
Mrs.,Cold Call,Assigned,,,Yuri Riggs,B0H 7SD,Ap #472-102 Lorem Av.,11
Mr.,Trade Show,Assigned,,,Christian Noel,Y24 2DR,"3009 Ornare, Street",55
Mrs.,Partner,Converted,,,Deirdre Hewitt,KH6O 6ZN,5096 Fusce St.,216
Ms.,Campaign,Converted,,,Bradley Aguirre,KX96 4GL,"P.O. Box 279, 3154 Et Road",122
Mrs.,Partner,Dead,,,Charissa Larsen,PQ41 3VW,"P.O. Box 608, 3466 Senectus Road",4
Mr.,Conference,Converted,,,Flynn King,KV3P 9YH,5225 Etiam Rd.,293
Ms.,Conference,Converted,,,Michael Griffin,Q2 2GW,8738 Pellentesque Av.,38
Mrs.,Employee,In Process,,,Kelly Barr,Q2 4GF,Ap #772-757 Lorem Street,308
Mrs.,Email,In Process,,,Benedict Wall,XA67 3HT,"868-3956 Placerat, Rd.",314
Mrs.,Web Site,New,,,Eden Hartman,Q59 7ED,174-9065 Risus Avenue,512
Mrs.,Campaign,Dead,,,Stone Hancock,Z86 8MH,"P.O. Box 702, 8338 Tellus Av.",81
Ms.,Campaign,Assigned,,,Alfreda Armstrong,AX8A 6XG,"P.O. Box 285, 2388 Ut Ave",483
Mrs.,Self Generated,New,,,Ahmed Dennis,U0B 0ZK,5874 Iaculis St.,216
Ms.,Trade Show,New,,,Amy Sykes,H88 2QL,1024 Sed Rd.,486
Ms.,Direct Mail,In Process,,,Noelle Dillard,L24 8QJ,"819-5466 Quis, Street",325
Ms.,Partner,New,,,Driscoll Ball,TX1 8SM,563-7485 At Av.,94
Mr.,Partner,In Process,,,Martha Pitts,ZF39 9JC,"2271 Orci, Rd.",438
Mr.,Email,In Process,,,Venus Pope,VN83 9EH,607-4420 Faucibus Rd.,34
Mrs.,Web Site,New,,,Daryl Castaneda,T72 5VR,738-6744 Non Rd.,158
Mrs.,Public Relations,Converted,,,Jordan Berger,SG34 5BH,"P.O. Box 237, 2688 Consequat Avenue",506
Ms.,Employee,Assigned,,,Rajah Morton,KU9P 5AI,"P.O. Box 156, 3566 Auctor Avenue",292
Ms.,Word of mouth,Converted,,,Lee Heath,RL02 9RQ,Ap #544-5172 Turpis Rd.,399
Ms.,Employee,Assigned,,,Katelyn Boyle,E8S 3EI,"P.O. Box 923, 8718 Scelerisque, Av.",332
Ms.,Campaign,Converted,,,Ronan Baker,Q3 3UK,6748 Aliquam Rd.,51
Ms.,Self Generated,Dead,,,Hanna Blake,G31 7ZR,Ap #822-6026 Tempor Avenue,182
Ms.,Web Site,Converted,,,Sierra Koch,T0K 1EU,Ap #662-5306 Ac Rd.,302
Ms.,Conference,Converted,,,Zelenia Cochran,FI8 7OJ,121-6607 Lectus Road,83
Mrs.,Cold Call,New,,,Branden Best,F5O 6JD,161-7365 A Ave,281
Ms.,Conference,Assigned,,,Upton Greene,M1S 2VZ,768-969 Elit St.,123
Mrs.,Web Site,Recycled,,,Troy Cooke,ED15 7VV,5666 Sed Road,392
Ms.,Self Generated,Recycled,,,Ivy Green,N8K 1IL,2143 Cras Av.,325
Ms.,Employee,Converted,,,Harrison Ayala,CW75 7WH,5222 Nam Road,247
Mrs.,Self Generated,Assigned,,,Brianna West,H54 8BY,455-8163 Feugiat Rd.,392
Mr.,Employee,New,,,Alice Bennett,Q3 0JE,"P.O. Box 761, 589 Mi. Road",409
Mr.,Other,New,,,Ray Barrera,AH16 0TU,"P.O. Box 426, 3589 Id, St.",50
Mr.,Word of mouth,In Process,,,Isaac Santana,H7Q 4DF,"496-6175 Elit, St.",285
Mr.,Trade Show,Assigned,,,Adam Cote,N4U 0SY,3493 Augue Road,347
Ms.,Web Site,Converted,,,Olivia Beach,ID9 9CL,908-3982 Aenean St.,98
Mr.,Cold Call,Converted,,,Amos Cleveland,X9W 9AZ,Ap #413-547 Maecenas Ave,509
Mrs.,Email,Dead,,,Holmes Rocha,WJ5 9CK,554-2317 Sit Rd.,480
Mr.,Trade Show,Recycled,,,Fritz Bradshaw,FV9 4GE,"P.O. Box 286, 3046 Laoreet Rd.",203
Mr.,Other,Recycled,,,Finn Jacobson,PN53 0FZ,"P.O. Box 707, 1198 Enim Avenue",178
Mrs.,Trade Show,Converted,,,Lael Garcia,AQ8 9UP,3531 Egestas Av.,432
Ms.,Direct Mail,New,,,Leila Steele,FN3 4SQ,1094 Curabitur Rd.,372
Mr.,Email,Dead,,,Maris Horn,E76 8TU,686-8809 Condimentum. Av.,213
Mr.,Trade Show,Assigned,,,Harrison Buckner,KV1E 1IX,6569 Magna. St.,453
Ms.,Cold Call,In Process,,,Rhoda Finch,I22 6NZ,6883 Auctor. Ave,500
Mr.,Employee,In Process,,,MacKensie Shepherd,Y71 6MG,8734 Ipsum Avenue,266
Ms.,Self Generated,Dead,,,Allen Tillman,S23 8WT,"P.O. Box 405, 4539 Vitae, Rd.",168
Mr.,Word of mouth,New,,,Allistair Wiley,LL6J 3LC,4053 Velit Rd.,66
Mrs.,Campaign,In Process,,,Eliana Patrick,NB9T 1LI,389-4658 Orci. Rd.,461
Ms.,Employee,New,,,Emi Shannon,MF3 5UF,7749 Curabitur Rd.,351
Ms.,Conference,Converted,,,Vanna Figueroa,HT98 4AI,Ap #936-6434 Dapibus St.,222
Ms.,Partner,New,,,Deanna Cabrera,RR70 3NM,Ap #617-8957 Cursus Street,425
Mr.,Employee,Dead,,,Ivy Acosta,LB33 1TJ,"P.O. Box 548, 1008 Cursus Road",229
Ms.,Existing Customer,New,,,Macy Hinton,T4S 1PO,326-8488 Ligula Av.,399
Ms.,Other,Converted,,,Martina Estes,CC6I 8VI,"Ap #239-9592 Et, Road",82
Ms.,Partner,New,,,Felicia Oneill,AF2 2DK,530 Gravida. Rd.,345
Mr.,Public Relations,Converted,,,Louis Walker,M1W 0JY,850-937 Augue St.,276
Mr.,Self Generated,Dead,,,Elton Rose,I9 1ME,468-6029 Arcu. Rd.,189
Mrs.,Campaign,New,,,Alea Barlow,R1 8MT,526-4932 Ipsum. Rd.,316
Ms.,Word of mouth,Assigned,,,Stuart Garcia,YS8 8PB,529-842 Sagittis Ave,12
Mr.,Web Site,New,,,Zenia Avery,XQ53 8TU,1541 Consequat St.,248
Mrs.,Other,Dead,,,Wade Martin,GZ8X 5AZ,Ap #910-4605 Eget Street,27
Ms.,Other,In Process,,,Quentin York,EX0 3CQ,"P.O. Box 692, 403 Eu, Ave",182
Ms.,Web Site,In Process,,,Guy Sawyer,ES71 2GD,Ap #122-7955 Nonummy Rd.,300
Mrs.,Campaign,In Process,,,Vanna Wallace,CH2 2JF,907-3733 Lorem Avenue,117
Mrs.,Campaign,Converted,,,Jordan Melton,JC62 5ZL,953-4941 Dui Rd.,108
Mr.,Email,Converted,,,Malcolm Zimmerman,A2N 1SK,Ap #340-8041 Mi. St.,371
Mr.,Email,New,,,Karly Pitts,HH35 5ME,Ap #818-6234 Neque Avenue,392
Mrs.,Cold Call,Recycled,,,Meredith Guzman,GL0 8KJ,Ap #223-1249 Eu St.,197
Mr.,Existing Customer,In Process,,,Xavier Fuentes,D9P 6LM,"347-3258 Ornare, Av.",338
Mrs.,Direct Mail,In Process,,,Tyrone Banks,ZJ3Q 2NB,"P.O. Box 359, 1893 At, St.",11
Ms.,Email,Dead,,,Stephen Fitzgerald,G7V 0AV,8457 Est Road,193
Mrs.,Public Relations,Assigned,,,Belle Ellison,DY8 2PD,912-3863 Nullam St.,188
Mrs.,Campaign,Dead,,,Blaze Alvarado,L05 5JG,Ap #663-8490 Ut Avenue,59
Ms.,Existing Customer,In Process,,,Brody Kelly,YX6R 2AB,893-3712 Neque Road,228
Mrs.,Web Site,New,,,Phelan Jarvis,J6Q 3SW,"4635 Placerat, Rd.",167
Mr.,Word of mouth,New,,,Tamara Kaufman,Z6B 6NO,"P.O. Box 712, 6780 Natoque Street",355
Mr.,Existing Customer,Assigned,,,Xena Rose,W41 2TP,8425 Mi St.,360
Mr.,Partner,New,,,Mallory Valdez,I5B 6UD,"P.O. Box 996, 8729 Mollis Road",192
Ms.,Web Site,New,,,Quon Kirkland,D9Q 2UT,241-4663 Semper St.,145
Mrs.,Partner,Recycled,,,Omar Wyatt,L73 9KK,7056 Lorem St.,427
Ms.,Web Site,Converted,,,Yeo Sandoval,CW7E 0LS,Ap #854-5237 Porttitor Rd.,419
Mrs.,Word of mouth,New,,,Hector Atkins,C0 0VL,Ap #100-1763 Libero St.,452
Mr.,Public Relations,Assigned,,,Anne Raymond,IV11 5WD,Ap #277-7512 Consequat Road,379
Mr.,Web Site,New,,,Velma Mosley,N2X 9RU,"P.O. Box 768, 1807 Risus. Road",115
Mrs.,Partner,In Process,,,Elmo Tran,I14 3CH,1794 Nunc St.,397
Mrs.,Trade Show,Assigned,,,Giacomo Waller,Y14 3QK,Ap #391-5612 Et Rd.,192
Mrs.,Trade Show,Converted,,,Zahir Bennett,K6 9ZR,"P.O. Box 646, 8071 Metus Avenue",258
Ms.,Other,Converted,,,Cleo Pate,XX2 7CP,"9435 Elit, St.",363
Mr.,Email,Assigned,,,Yvette Thomas,W8 8CC,Ap #614-661 Sed Ave,103
Mr.,Trade Show,Converted,,,Zena Hewitt,MX92 7JB,Ap #142-3274 Enim. Street,418
Mr.,Cold Call,Recycled,,,Rafael Galloway,D29 7VJ,700-3792 Sociis St.,303
Mr.,Partner,Dead,,,Emery Donaldson,GU2 8SQ,2668 Nibh Avenue,512
Mrs.,Email,Dead,,,Tatum Mathis,X40 6IB,"P.O. Box 401, 2394 Eleifend, St.",274
Mrs.,Conference,Dead,,,Nell Turner,R66 6CN,"192-4879 A, Rd.",259
Ms.,Existing Customer,Converted,,,Jamalia Caldwell,C7 8PW,"P.O. Box 518, 9744 Tincidunt Avenue",408
Mrs.,Trade Show,Assigned,,,Hilary Jenkins,NK3S 0LY,8701 Interdum Rd.,474
Mr.,Self Generated,New,,,Yolanda Watts,A3 9SQ,"P.O. Box 945, 2126 Velit. Road",392
Mr.,Self Generated,New,,,Uriah Schroeder,C6 2KX,734-3731 Donec Avenue,66
Mrs.,Conference,Assigned,,,Stella Singleton,TZ9 3FP,"P.O. Box 562, 2292 Pellentesque Ave",70
Ms.,Campaign,In Process,,,Vance Bates,M87 9LJ,"997-2150 Nec, Avenue",16
Mr.,Web Site,Dead,,,Iris Strong,CE2A 3EN,619-1004 Facilisis. Street,370
Mr.,Existing Customer,Dead,,,Alice Head,S13 9WF,Ap #592-6325 Molestie Av.,38
Mrs.,Other,New,,,Tucker Quinn,DD7 3VG,Ap #149-5777 Risus. Street,215
Mrs.,Partner,Assigned,,,Regina Arnold,X7 3KQ,915-7240 Bibendum. St.,243
Mrs.,Trade Show,Assigned,,,Alyssa Carson,Z64 9OR,2676 Euismod Rd.,287
Ms.,Public Relations,In Process,,,Xavier Newman,E9 9SD,"245-5277 Elementum, St.",407
