LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Ms.,Email,Recycled,Sit Amet Ornare LLP,OPPORTUNITY-143,Len Landry,71893,"732-1722 Tincidunt, Ave",306
Mrs.,Direct Mail,Recycled,Lorem LLC,OPPORTUNITY-144,Clio Burt,46380,"P.O. Box 441, 4638 Est Road",341
Ms.,Web Site,Converted,,OPPORTUNITY-145,Gemma Soto,74931,"P.O. Box 739, 9950 Curae; Av.",277
Mrs.,Public Relations,Converted,Amet Corporation,OPPORTUNITY-146,Victor Norton,M9N 5V5,2031 Dolor Ave,297
Mrs.,Cold Call,Assigned,Ultricies Corporation,OPPORTUNITY-147,Stella Cotton,3231 SN,"P.O. Box 829, 8047 Ornare Rd.",431
Mrs.,Other,Dead,Sit Amet Ornare LLP,OPPORTUNITY-148,Jessamine Dudley,764777,381-3074 Nunc Road,279
Mrs.,Campaign,In Process,,OPPORTUNITY-149,Rhonda Leon,19316,9197 Augue St.,353
Ms.,Public Relations,Dead,Natoque Penatibus Institute,OPPORTUNITY-150,Mariko Daniel,963511,3173 Augue Rd.,85
Mr.,Public Relations,Dead,Lorem LLC,OPPORTUNITY-151,Solomon Thomas,742685,"P.O. Box 359, 9385 Tristique Rd.",254
Mr.,Web Site,In Process,,OPPORTUNITY-152,Willow Sullivan,865898,4516 Est Avenue,498
Ms.,Email,Converted,Urna Nullam Lobortis LLC,OPPORTUNITY-153,Serena Miller,71310,"P.O. Box 340, 3007 Ultricies Street",273
Mr.,Self Generated,Dead,Integer In Corporation,OPPORTUNITY-154,Elmo Harrell,625428,"P.O. Box 210, 2903 Vulputate Avenue",481
Mrs.,Conference,Dead,Sit Amet Ornare LLP,OPPORTUNITY-155,Ciara Alexander,473122,Ap #745-4675 Interdum Avenue,97
Ms.,Partner,Recycled,Felis Eget Corporation,OPPORTUNITY-156,Merritt Brennan,70-915,730-9624 Enim. Av.,442
Mr.,Word of mouth,In Process,Sit Amet Ornare LLP,OPPORTUNITY-157,Ulla Cantu,00887,"P.O. Box 372, 6879 Nisl Road",194
Ms.,Campaign,Recycled,Tellus Ltd,OPPORTUNITY-158,Harper Porter,71405,880 Metus. St.,91
Mr.,Self Generated,Dead,Lorem LLC,OPPORTUNITY-159,Rebecca Stout,65133,"P.O. Box 134, 1977 Ultrices. St.",69
Mrs.,Web Site,Assigned,Ultrices Iaculis Company,OPPORTUNITY-160,Penelope Henry,3876,811-5625 Consectetuer Ave,9
Mrs.,Partner,In Process,,OPPORTUNITY-161,Kristen Gallegos,T1M 2X2,9962 Adipiscing St.,468
Mr.,Campaign,In Process,Amet PC,OPPORTUNITY-162,April Finley,5740 WF,7158 Consequat St.,92
Mrs.,Conference,Dead,Amet Corporation,OPPORTUNITY-163,Scarlett Jimenez,30308,809-8891 Penatibus Ave,373
Mrs.,Campaign,Converted,,OPPORTUNITY-164,Nash Franklin,21775-53608,545-5833 Nam Rd.,524
Mr.,Cold Call,In Process,Ipsum Corp.,OPPORTUNITY-165,Jerome Gordon,G0R 8X6,561-7206 Dolor Av.,451
Mr.,Trade Show,Assigned,Sit Amet Ornare LLP,OPPORTUNITY-166,Alec Dawson,N3C 6C5,Ap #837-3176 Nec St.,277
Mrs.,Trade Show,Assigned,Integer In Corporation,OPPORTUNITY-167,Ariana Ratliff,Z3425,4539 Nulla Rd.,371
Mrs.,Employee,In Process,Tellus Ltd,OPPORTUNITY-168,Beverly Bush,51055,"P.O. Box 784, 2684 Mauris St.",184
Mrs.,Email,Assigned,Pede PC,OPPORTUNITY-169,Noel Ray,23683,Ap #532-9536 Fames Rd.,456
Mrs.,Existing Customer,In Process,Urna Nullam Lobortis LLC,OPPORTUNITY-170,Ethan Watkins,2937,"P.O. Box 117, 1322 Aliquam Rd.",359
Ms.,Web Site,Recycled,Ipsum Corp.,OPPORTUNITY-171,Macey Padilla,823053,"P.O. Box 742, 1574 Ligula. St.",466
Ms.,Email,In Process,Amet PC,OPPORTUNITY-172,Quentin Santiago,29567,"P.O. Box 854, 1638 Justo Ave",510
Mr.,Self Generated,In Process,Natoque Penatibus Institute,OPPORTUNITY-173,Forrest Hawkins,10448,7308 Et Rd.,401
Mrs.,Word of mouth,Dead,Pede PC,OPPORTUNITY-174,Dean Mcdonald,11112,Ap #925-7453 Pellentesque Street,503
Mr.,Conference,Recycled,Pede PC,OPPORTUNITY-175,Karyn Long,8594 BS,"P.O. Box 812, 2873 Posuere Ave",276
Mr.,Partner,Assigned,Pede PC,OPPORTUNITY-176,Fletcher Dunn,532923,6696 Ipsum Avenue,390
Mr.,Partner,Dead,,OPPORTUNITY-177,Denton Puckett,21361,4673 Massa. Avenue,189
Mrs.,Direct Mail,Recycled,Amet PC,OPPORTUNITY-178,Jaden Mcgowan,03420,"P.O. Box 363, 2283 Condimentum Rd.",250
Ms.,Other,Recycled,,OPPORTUNITY-179,Uta Mueller,43835-99075,555-3737 Lacus. Road,510
Mrs.,Email,Dead,,OPPORTUNITY-180,Elvis Mcbride,71-906,"P.O. Box 223, 4595 Dui. St.",457
Ms.,Email,Assigned,Dui Semper Ltd,OPPORTUNITY-181,Alyssa Becker,33647,"P.O. Box 411, 3659 Rutrum, Street",227
Ms.,Campaign,Converted,Orci Sem Eget Company,OPPORTUNITY-182,Porter Mcmillan,02960,"P.O. Box 196, 8253 Sit St.",463
Mrs.,Web Site,Assigned,Integer In Corporation,OPPORTUNITY-183,Zelda Stuart,907209,158-336 Dictum Rd.,300
Mr.,Self Generated,Recycled,Ipsum Primis Associates,OPPORTUNITY-184,Felix Raymond,13066,"P.O. Box 728, 4465 Semper. Rd.",434
Mrs.,Web Site,Recycled,Natoque Penatibus Institute,OPPORTUNITY-185,Roanna Neal,KQ1K 6VD,6018 Vivamus Rd.,160
Mrs.,Trade Show,Recycled,Amet Corporation,OPPORTUNITY-186,Melodie Bridges,4145 SX,Ap #915-8949 Odio Rd.,466
Mrs.,Existing Customer,Dead,Ipsum Primis Associates,OPPORTUNITY-187,Igor Meadows,90804-85287,472-2122 Lorem Street,148
Ms.,Existing Customer,In Process,Sit Amet LLC,OPPORTUNITY-188,Autumn Flowers,58618,403-4684 Tempus Av.,307
Ms.,Other,Converted,Amet PC,OPPORTUNITY-189,Jaden Cox,5873,"P.O. Box 210, 1439 Non Ave",372
Mrs.,Public Relations,Assigned,Ultrices Iaculis Company,OPPORTUNITY-190,Otto Torres,Z5295,"P.O. Box 606, 991 Nec St.",374
Mr.,Public Relations,Dead,Erat Volutpat Industries,OPPORTUNITY-191,Kelly Gordon,778027,"P.O. Box 258, 8230 Tellus. Rd.",481
Mrs.,Word of mouth,Converted,,OPPORTUNITY-192,Michael Clemons,61538,630-9188 Sit St.,87
Ms.,Cold Call,Assigned,Pede PC,OPPORTUNITY-193,Clarke Bryan,Z0332,Ap #192-4492 Lectus Avenue,334
Mrs.,Direct Mail,Converted,Amet Corporation,OPPORTUNITY-194,Halla Hunter,21716,"P.O. Box 441, 3043 Mauris Ave",263
Ms.,Self Generated,Dead,Et Malesuada Fames Associates,OPPORTUNITY-195,Basil Franks,9750,1946 Euismod Avenue,367
Ms.,Campaign,Recycled,Urna Nullam Lobortis LLC,OPPORTUNITY-196,Grace Ball,038881,"P.O. Box 537, 9168 Non St.",51
Mr.,Web Site,Assigned,Dui Semper Ltd,OPPORTUNITY-197,Madeson Watts,479722,2138 Lorem Rd.,450
Mrs.,Web Site,Recycled,Ipsum Primis Associates,OPPORTUNITY-198,Kameko Blanchard,271962,3161 Ultricies Rd.,69
Mrs.,Conference,Assigned,Condimentum Eget Company,OPPORTUNITY-199,Amity Vazquez,76934,619-8593 Praesent Avenue,340
