LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Ms.,Conference,In Process,,,Maxine Perez,TI3W 8HQ,"P.O. Box 490, 9541 Commodo Rd.",453
Ms.,Public Relations,Converted,,,Jaquelyn Baxter,D27 9HC,7299 Augue Street,223
Mrs.,Other,New,,,Gretchen Herman,V47 3NI,"P.O. Box 842, 7964 Suspendisse Ave",520
Mrs.,Trade Show,New,,,Vanna Lester,VQ3S 0ZX,1780 Lacinia Rd.,166
Mrs.,Employee,New,,,Jemima Cash,DH3K 9BD,"P.O. Box 830, 8875 Nunc St.",479
Mrs.,Conference,Converted,,,Camden Johnston,DR7 1YV,"P.O. Box 724, 7811 Blandit Avenue",15
Mrs.,Existing Customer,Dead,,,Jasper Marquez,K50 6WT,Ap #148-477 Ullamcorper Rd.,318
Mrs.,Trade Show,Converted,,,Lucas Thomas,HA0 4NY,500-4301 Egestas. Avenue,112
Mrs.,Email,Recycled,,,Robin Fisher,HK9V 5HA,6941 Dictum. Ave,403
Mrs.,Public Relations,Recycled,,,Baker Blake,EL3 3UL,"P.O. Box 645, 8167 Est Avenue",437
Ms.,Word of mouth,Converted,,,Timothy Merrill,IL8 0IC,4878 Ridiculus St.,275
Ms.,Word of mouth,New,,,Aristotle Whitney,Y4 1RO,Ap #193-1423 Sed St.,62
Mrs.,Web Site,Recycled,,,Jeremy Lane,J1W 7BY,303-4746 Hendrerit. Ave,160
Mrs.,Direct Mail,New,,,Teegan Mcfarland,QY1N 3PF,"9394 Et, Avenue",474
Mr.,Campaign,Converted,,,Gabriel Summers,PD36 8IV,Ap #585-8623 Ac Rd.,415
Ms.,Web Site,New,,,Fay Coleman,JC7 8TQ,"P.O. Box 207, 1833 Sed Avenue",252
Mrs.,Public Relations,New,,,Fletcher Leon,GN7R 9LC,612-9492 Eu Road,337
Mr.,Word of mouth,Converted,,,Summer Roach,JB3Z 4YQ,2952 Cras Ave,104
Ms.,Web Site,Converted,,,Brenda Jenkins,L03 5DB,"4759 Non, Av.",315
Ms.,Public Relations,New,,,Felix Callahan,JL26 1KS,661-3678 Erat Street,42
Mr.,Direct Mail,Recycled,,,Lyle Valentine,SU13 8XH,2266 Nec Road,256
Mrs.,Public Relations,Converted,,,Felix Bailey,J8 1JQ,"P.O. Box 282, 7070 Vel Av.",235
Mrs.,Direct Mail,Converted,,,Fritz Marsh,QU4F 8FL,"Ap #961-9006 Rutrum, St.",40
Ms.,Web Site,New,,,Quynn Burnett,ZS15 3RX,353 Sed St.,434
Mr.,Direct Mail,Recycled,,,Odessa Guerrero,UV4Y 7OY,6471 A Street,158
Mr.,Other,Converted,,,Dante Hebert,SC7 9DU,Ap #964-3083 Nisi. Rd.,159
Mr.,Direct Mail,Recycled,,,Shad Abbott,KD5A 0SD,6460 Vitae St.,232
Ms.,Email,Converted,,,Abra Conley,KB4 5WB,"P.O. Box 307, 1612 Lectus St.",250
Ms.,Public Relations,Converted,,,Blossom Baker,Q68 5UP,"P.O. Box 605, 4738 Turpis. Av.",230
Mrs.,Partner,Assigned,,,Hilary Foley,K75 6WJ,"P.O. Box 985, 9363 Netus Road",105
Ms.,Web Site,Dead,,,Malachi Austin,CH72 2JC,489-5535 Tellus Avenue,428
Mrs.,Word of mouth,Converted,,,Davis Shepard,Q6 0DR,"998-3730 Vel, Av.",177
Ms.,Other,Recycled,,,Lois Duffy,RI10 4VP,262-8950 Fusce St.,435
Mr.,Campaign,Recycled,,,Ulric Gutierrez,YN50 4NT,790-8195 Auctor Avenue,253
Mrs.,Public Relations,Dead,,,Velma Ford,F4 4VO,Ap #712-1459 In Ave,424
Mrs.,Partner,Recycled,,,Louis Cooper,MT8 2LQ,"P.O. Box 804, 278 Tincidunt St.",157
Mrs.,Direct Mail,Dead,,,Linda Nguyen,SS2U 3QA,463-1468 Class Street,243
Mr.,Web Site,In Process,,,Geoffrey Dixon,K6 0OW,Ap #327-7102 Nibh. Rd.,391
Mr.,Direct Mail,New,,,Rahim Ray,FF3M 9KE,"P.O. Box 464, 9316 Est Rd.",194
Mrs.,Partner,New,,,Hayes Jenkins,GU91 4DU,Ap #982-7278 Phasellus Rd.,94
Ms.,Self Generated,Converted,,,Vivien Carver,JS6J 4GY,5639 Fames Avenue,93
Mrs.,Direct Mail,In Process,,,Anika Reynolds,EO89 4IJ,233-4380 Quam St.,124
Mr.,Trade Show,Recycled,,,Phillip Church,UK46 3MQ,Ap #865-733 Adipiscing. Road,189
Ms.,Email,New,,,Lucius Rivera,TU10 3IX,2061 Justo Ave,313
Ms.,Campaign,Converted,,,Dara Franks,O9A 8AH,Ap #800-1078 Fringilla Avenue,484
Mrs.,Employee,In Process,,,Aaron Stein,LD9 5BQ,Ap #864-3947 Integer Rd.,190
Mr.,Direct Mail,Converted,,,Cecilia Beach,JF1Q 7ZT,Ap #257-7846 Venenatis St.,78
Ms.,Cold Call,Dead,,,Wyoming Curtis,V8 9EA,"P.O. Box 154, 818 Vel Street",159
Mrs.,Cold Call,Recycled,,,Uriah Strickland,E85 8QA,Ap #873-3281 Quisque Avenue,109
Mr.,Trade Show,Converted,,,Kai Talley,WL9 9JJ,"259-8274 Elit, St.",77
Ms.,Cold Call,New,,,Finn Brown,T7T 6SQ,"523-2949 Fringilla, St.",119
Mrs.,Trade Show,Converted,,,Jin Peterson,Q6 4HU,Ap #653-1260 Suspendisse Rd.,497
Mrs.,Self Generated,Dead,,,Charde Roach,Y37 5GZ,399-9821 Magna. Street,2
Mrs.,Web Site,Converted,,,Colorado Zamora,W8 3KT,5563 Sodales Rd.,413
Mrs.,Public Relations,Converted,,,Steven Cleveland,OF2C 1UH,"P.O. Box 437, 3202 Feugiat St.",123
Mrs.,Direct Mail,Converted,,,Arden Contreras,N1 5CS,6240 Magna. Rd.,514
Mr.,Web Site,Converted,,,Hall Jacobs,B36 6JO,"P.O. Box 286, 5182 At, Rd.",401
Ms.,Campaign,In Process,,,Madeson Herman,C02 7JH,2255 Mus. Street,311
Mrs.,Web Site,Converted,,,Libby Brooks,BJ0N 4TZ,"P.O. Box 747, 7681 Sed Ave",2
Mr.,Public Relations,Assigned,,,Victor Chavez,A1A 6PP,Ap #724-3529 Donec Avenue,107
Ms.,Cold Call,Recycled,,,Regan Sheppard,ZM07 4KO,948 Nunc Road,356
Mr.,Web Site,Assigned,,,Sarah Barlow,CV68 4QJ,769-2460 Purus Rd.,434
Ms.,Public Relations,Converted,,,Britanni Dunlap,P4 9SZ,Ap #690-9416 Aliquet. Avenue,487
Mrs.,Web Site,Converted,,,Ahmed Lindsey,RD1T 2YR,Ap #724-7478 Egestas Ave,106
Ms.,Employee,New,,,Caleb Bailey,NQ2 9YI,Ap #957-7718 Cras St.,413
Mr.,Cold Call,Dead,,,Emerald Pruitt,YQ5 5WL,Ap #114-1604 Aliquet. St.,311
Mr.,Public Relations,Converted,,,Chaney Avery,ID8 5EE,"Ap #360-926 Non, Street",316
Mr.,Public Relations,Converted,,,Leigh Golden,MM85 7DX,"P.O. Box 883, 9956 Molestie Street",488
Mrs.,Campaign,Recycled,,,Xaviera Ingram,UL76 4SE,"P.O. Box 378, 6585 Vivamus St.",114
Mr.,Email,Dead,,,Mariko Peck,BL5 6BJ,6269 Enim Rd.,279
Mr.,Campaign,Converted,,,Carson Morrison,YK98 0AQ,"P.O. Box 742, 6076 Ipsum. St.",408
Mr.,Partner,New,,,Ali Nielsen,AO0 8HE,3303 Nec Rd.,342
Mr.,Public Relations,Recycled,,,Stuart Kramer,KO0D 1HK,732-6362 Ante. Street,407
Mrs.,Public Relations,Recycled,,,Cynthia Collins,BI1 3CL,1778 Suspendisse Road,530
Ms.,Cold Call,Converted,,,Fiona Carey,OI6J 1GJ,"2803 Et, Rd.",264
Mr.,Email,Converted,,,Conan Hunter,AY89 6DI,228-9525 Et St.,258
Ms.,Campaign,In Process,,,Pandora Cash,FR2 3JH,932-7730 Viverra. St.,485
Ms.,Direct Mail,Assigned,,,Ruth Calhoun,C30 9SD,Ap #545-7089 Ligula St.,307
Mrs.,Word of mouth,Recycled,,,Wing Butler,NL68 3GS,"1228 Rutrum, St.",242
Ms.,Trade Show,Recycled,,,Brady Benjamin,H53 2HH,9887 Non Rd.,212
Mr.,Email,Converted,,,Ian Goodwin,OG5 2HC,Ap #186-4597 Interdum Rd.,281
Mr.,Public Relations,Converted,,,Eaton Turner,K85 6BL,"236-7510 Fringilla, St.",472
Mr.,Conference,Recycled,,,Kaitlin Todd,G1 4NV,"Ap #975-5707 Aliquam, Road",339
Ms.,Word of mouth,Assigned,,,Mercedes Dale,G07 4AY,Ap #672-2695 Et St.,57
Mr.,Public Relations,Assigned,,,Ainsley Bartlett,MX5E 4LP,"P.O. Box 495, 433 Neque. St.",112
Mrs.,Campaign,New,,,Castor Hyde,F5W 7QB,"P.O. Box 297, 8290 Orci. Rd.",192
Ms.,Direct Mail,Converted,,,Hope Simon,Y3J 1TO,Ap #685-5051 Primis Rd.,110
Mrs.,Existing Customer,Converted,,,Ulysses Reese,V9 7VD,Ap #724-6482 Egestas. Street,118
Mr.,Other,Converted,,,Ava Patel,J27 0JO,Ap #925-994 Sit Ave,7
Mr.,Public Relations,In Process,,,Graiden Cobb,EH36 0FF,"P.O. Box 166, 5174 Ipsum Av.",244
Ms.,Partner,Dead,,,Wade Gregory,HO51 4AZ,Ap #476-1272 Nunc St.,462
Ms.,Email,New,,,Nero Cummings,U7 9LA,"4878 Eu, St.",39
Mr.,Direct Mail,Recycled,,,Dominique Washington,AO4I 8YL,1275 Volutpat. Street,239
Mrs.,Web Site,Converted,,,Gavin Mcneil,S4U 7YH,"P.O. Box 602, 8774 Tempus Ave",367
Ms.,Conference,Converted,,,Hadley Waters,NG22 5CS,902-8074 Nulla Av.,75
Mr.,Cold Call,Assigned,,,Nasim Ward,TJ0 6PY,"350-7997 A, Street",516
Mr.,Conference,In Process,,,Moana Schroeder,WS4 9JP,5363 Erat. Street,415
Ms.,Other,Converted,,,Cynthia Lancaster,XQ6 1VC,"P.O. Box 340, 5965 Donec Street",112
Mrs.,Word of mouth,Converted,,,Ariel Powers,A6T 2ZT,"P.O. Box 383, 275 Lobortis Ave",232
Mr.,Word of mouth,Converted,,,Amena Frederick,E5 1YI,9383 Ullamcorper Ave,83
Ms.,Conference,Converted,,,Chava Gilmore,J0R 9KW,"P.O. Box 910, 7314 Mi Street",296
Mrs.,Web Site,Dead,,,Quon Blanchard,CU7D 3HA,6956 Mattis Street,453
Mr.,Conference,Converted,,,Myra Howard,KJ0 1CT,"P.O. Box 793, 4103 Vehicula Road",120
Ms.,Self Generated,Dead,,,Fritz Walls,H7 0TZ,Ap #354-4190 Facilisi. Ave,187
Mr.,Existing Customer,Converted,,,Jerome Herman,C7 5YP,"P.O. Box 693, 8647 Tincidunt, St.",159
Mr.,Trade Show,Converted,,,Mikayla Cox,Q45 4QM,396-3930 Non Rd.,66
Ms.,Email,New,,,Stella Cardenas,EL2 0BD,Ap #897-3847 Pellentesque Ave,369
Mr.,Other,Converted,,,Shelby Prince,K3 5DI,390-3114 Nam Street,13
Ms.,Email,Converted,,,Pandora Castaneda,Y91 3KR,Ap #554-2363 Turpis Av.,342
Mrs.,Word of mouth,In Process,,,Ursa Franklin,ZG30 2JO,"P.O. Box 155, 836 Rutrum Rd.",144
Ms.,Trade Show,Dead,,,Burton Hayes,LA41 7JG,"P.O. Box 763, 536 Quis Ave",266
Mrs.,Existing Customer,New,,,Chantale Griffith,J4 4QS,"P.O. Box 137, 3870 Consectetuer St.",126
Ms.,Direct Mail,New,,,Olympia Webb,F03 6BF,"P.O. Box 789, 5956 Vel, Road",51
Mrs.,Self Generated,Assigned,,,Bo Owens,K04 9DG,670-7732 Amet Road,230
Mrs.,Campaign,Assigned,,,Grace Ellis,Z0O 4QA,Ap #940-4096 Elit. Av.,235
Ms.,Direct Mail,Recycled,,,Bo Buckley,CA8 0EI,Ap #557-8293 Leo. Av.,309
Mr.,Conference,Converted,,,Kirk Cabrera,K29 0KN,"P.O. Box 973, 9775 Amet Street",520
Mr.,Conference,New,,,Brennan Molina,DK6C 2LV,"P.O. Box 870, 7867 Arcu Rd.",335
Ms.,Web Site,Recycled,,,Upton Cash,S4 5RX,"739 Montes, St.",149
Mrs.,Cold Call,Converted,,,Mariko Haley,SG82 1EM,721-7196 Ligula. Street,249
Mr.,Cold Call,In Process,,,Hedley Head,Z2 7RU,"P.O. Box 706, 2217 Enim. Ave",134
Ms.,Email,Converted,,,Shaine Owens,Y0 4XX,897-6423 Primis Rd.,28
Mr.,Employee,Converted,,,Kennedy Casey,SJ4 5JD,"P.O. Box 308, 2896 Mi, Av.",6
Mr.,Partner,Recycled,,,Philip Roach,I07 2OX,"Ap #952-6719 Sed, Street",31
Mr.,Partner,Assigned,,,Piper Bennett,FR9B 1GT,8753 Amet Av.,406
Ms.,Direct Mail,Converted,,,Talon Levy,C0V 7RM,"P.O. Box 934, 8202 Fusce Street",338
Mr.,Other,Assigned,,,Kane Stephens,Q6 8QL,4827 Sollicitudin Road,153
Mr.,Word of mouth,Converted,,,Jesse Larsen,FX74 6XD,"548-7205 Auctor, Road",127
Mr.,Existing Customer,Converted,,,Aaron Mayer,Y16 7VW,"266-378 Amet, Street",506
Ms.,Trade Show,Converted,,,Quentin Gonzales,J0 9OD,"P.O. Box 655, 8866 Id Road",82
Mr.,Direct Mail,Dead,,,Katelyn Patel,GB76 7OM,"P.O. Box 390, 4094 Tellus St.",335
Mr.,Web Site,In Process,,,Phyllis Walker,V2K 8NL,"9938 At, Avenue",102
Mrs.,Other,Converted,,,Kerry Gross,BS32 8GD,"P.O. Box 337, 469 Rutrum St.",58
Ms.,Email,Converted,,,Quamar Chambers,V0 0XG,1217 Enim Ave,199
Mrs.,Trade Show,Converted,,,Zenia Yang,H8 4YO,5224 Posuere St.,345
Ms.,Word of mouth,Converted,,,Charity Gates,RY4 6IV,"P.O. Box 718, 1440 Nunc Rd.",483
Mrs.,Public Relations,New,,,Jade Bird,B9Y 1YU,Ap #820-7573 Ante Street,362
Mr.,Campaign,Converted,,,Akeem Church,G7Q 7BO,"7377 Elementum, Road",230
Ms.,Web Site,In Process,,,Martin Manning,F73 0QM,Ap #263-1923 Hendrerit. Street,374
Mr.,Partner,Dead,,,Emmanuel Crawford,K1F 5WZ,322-4409 Sed Rd.,346
Mr.,Self Generated,Dead,,,Jelani Christensen,ZI6 7IU,102-292 Amet Av.,284
Mr.,Campaign,Converted,,,Rashad Stafford,D3A 3MJ,5765 Aliquet Av.,72
Mr.,Existing Customer,Converted,,,Xaviera Gilmore,V2 6VA,Ap #609-9022 Tincidunt Ave,201
Ms.,Conference,Assigned,,,Margaret Hensley,YW59 5YU,"1083 Amet, St.",38
Mrs.,Trade Show,New,,,Luke Cotton,G8 4PC,"Ap #240-5438 Orci, Road",37
Mrs.,Employee,In Process,,,Clare Joseph,VY82 3GA,121-7860 Sem Av.,161
Mrs.,Direct Mail,Converted,,,Drake Rich,RX6B 8RI,3276 Penatibus Road,240
Mrs.,Direct Mail,New,,,Skyler Ray,O89 1GL,"P.O. Box 163, 840 Congue Road",506
Ms.,Email,Recycled,,,Jin Wall,GU11 4AA,351-270 Suspendisse Rd.,256
Mr.,Web Site,Converted,,,Eric Fox,H61 9UZ,808-5444 Elementum Ave,186
Ms.,Word of mouth,Recycled,,,Brett Rutledge,J31 5CE,"Ap #676-1008 Vulputate, Ave",73
Mr.,Public Relations,Converted,,,Ahmed Barton,ML58 1FJ,"Ap #471-6218 Id, Avenue",474
Mrs.,Trade Show,Converted,,,Cameron Nichols,L1 7RB,"P.O. Box 284, 6099 Gravida Avenue",422
Mrs.,Campaign,Converted,,,Aline Rowe,HJ98 0LW,284 Velit Road,197
Mr.,Campaign,Assigned,,,Bertha Christensen,N7 7TU,4028 Volutpat Rd.,234
Mrs.,Web Site,Assigned,,,Talon Keith,NK95 9MR,368-1600 Dictum Av.,398
Mrs.,Direct Mail,Converted,,,Amy Jacobson,EQ9Z 0UR,Ap #370-8823 Ligula. Rd.,490
Mrs.,Cold Call,Dead,,,Aidan Farrell,W53 7OS,"P.O. Box 378, 4427 Nonummy. Road",369
Mrs.,Conference,In Process,,,Jakeem Duffy,I3G 0KW,977-9292 Lacinia Rd.,490
Ms.,Web Site,Recycled,,,Malcolm Melendez,C0 2PJ,"P.O. Box 873, 9576 Lectus St.",4
Mrs.,Public Relations,New,,,Yoshio Beach,B4 3MF,3926 Nunc Street,165
Mr.,Campaign,Assigned,,,Ebony Browning,S7 7KD,Ap #868-4079 Eu Rd.,498
Mr.,Direct Mail,Dead,,,Tanek Gonzalez,SW4L 6VK,1486 Interdum St.,296
Mrs.,Direct Mail,Assigned,,,Dawn Barron,MF94 0KA,"P.O. Box 470, 8221 Molestie Rd.",281
Mr.,Public Relations,Converted,,,Deacon Goodman,LE82 0CE,6917 Nec St.,102
Ms.,Web Site,Recycled,,,Fiona Richards,Y2R 4II,"544-8592 Dui, St.",294
Mrs.,Trade Show,New,,,Reece Santiago,F9S 0MX,Ap #751-3838 Lacinia Av.,33
Mrs.,Email,Assigned,,,Gannon Clay,OT50 4GM,"Ap #935-4477 Dolor, Avenue",31
Ms.,Direct Mail,In Process,,,Camden Huber,YH6U 8SU,267-4867 Enim. Road,135
Ms.,Employee,Converted,,,Nomlanga Duncan,D7 8TI,3722 Molestie Rd.,206
Ms.,Trade Show,Converted,,,Hadassah Stanton,MC31 3KU,"P.O. Box 464, 9797 Mollis. Road",7
Ms.,Trade Show,In Process,,,Paki Hyde,W6Y 9QH,Ap #933-2301 Fermentum Rd.,441
Mrs.,Web Site,Converted,,,Chaney Moody,PU5 5WT,Ap #854-6657 Libero. Rd.,163
Ms.,Direct Mail,Converted,,,Maite Davenport,EV92 8XF,"P.O. Box 619, 760 Nulla Road",443
Ms.,Trade Show,Dead,,,Ariana Pennington,CC9 1EB,Ap #112-5965 At Street,327
Mrs.,Partner,Converted,,,Ivy Dillon,MT96 4FB,"472-8957 Placerat, Rd.",30
Mrs.,Direct Mail,Converted,,,Jeremy Montgomery,VA1H 2LZ,244-8591 Faucibus St.,390
Mrs.,Campaign,Dead,,,Jerome Crawford,S2 9SB,Ap #656-6820 Euismod St.,353
Mrs.,Word of mouth,Converted,,,Maggie Watts,LV15 8UN,"895-2982 Placerat, Ave",248
Mr.,Other,Assigned,,,Josiah Gross,S38 8LE,Ap #806-7913 Ad Street,431
Ms.,Conference,In Process,,,Nissim Strong,V7 9BN,"P.O. Box 946, 4397 Magna. Av.",531
Ms.,Conference,Converted,,,Ryder Frank,PI31 0QP,"Ap #284-1681 Eu, St.",354
Ms.,Existing Customer,Dead,,,Kareem Mercado,VO13 6DF,614-2716 Ligula. Rd.,199
Mrs.,Conference,Dead,,,Dante Sykes,T5 0VM,"P.O. Box 629, 4470 Ridiculus St.",147
Mrs.,Campaign,Converted,,,Eliana Haley,P3 1SD,"P.O. Box 726, 8408 Egestas. Street",296
Mr.,Trade Show,In Process,,,Caryn Vaughan,Y2 2XC,Ap #141-1477 Vehicula Ave,197
Mrs.,Public Relations,Assigned,,,Odysseus Roy,FS5 1IH,"P.O. Box 151, 7941 Mi St.",345
Ms.,Public Relations,Dead,,,Aline Richard,NS9O 1YU,"544-7245 Lorem, Av.",347
Mrs.,Conference,Recycled,,,Burke Buckner,Y9 0IH,"P.O. Box 511, 213 Accumsan Rd.",359
Mrs.,Word of mouth,Converted,,,Leila Richards,X7K 3CX,518-4996 Metus. Rd.,346
Mrs.,Trade Show,Converted,,,Amity Sargent,FW08 2GQ,"5112 Et, Av.",459
Mrs.,Email,Assigned,,,Cedric Lara,F7 1BI,"P.O. Box 828, 4140 Pellentesque Rd.",237
Mrs.,Direct Mail,In Process,,,Amir Hampton,D7Q 1HS,"P.O. Box 228, 5446 Odio. Av.",477
Mr.,Direct Mail,Converted,,,Nathaniel Salinas,JT0 5LE,"Ap #861-2451 Laoreet, Av.",50
Mrs.,Partner,Assigned,,,Odysseus Patton,XZ6 6RY,4413 Proin Rd.,20
Ms.,Partner,Converted,,,Reese Craft,FD3R 1HS,Ap #366-2548 Velit. St.,246
Mrs.,Campaign,Assigned,,,Hector Potts,DA48 4HI,Ap #938-2772 Ac Street,519
Ms.,Conference,Assigned,,,David Levy,D7 8AL,5961 Et St.,328
Mr.,Campaign,Assigned,,,Jolie Mueller,HE7E 2EQ,414-6139 Mauris Av.,326
Mrs.,Word of mouth,New,,,Tamara Slater,E3 2DA,"P.O. Box 920, 4687 Eu St.",514
Mrs.,Campaign,Converted,,,Dorian Hill,U3 9SB,"P.O. Box 177, 5991 Ullamcorper. Av.",234
Mrs.,Employee,Recycled,,,Miriam Leonard,QU9 3UJ,"P.O. Box 575, 6487 Ipsum Av.",336
Mrs.,Web Site,Assigned,,,Dominique Parsons,EG2R 8RA,8855 Libero Avenue,37
Mr.,Web Site,Recycled,,,Karen Myers,HK0Y 7SJ,Ap #164-8412 Suspendisse Rd.,483
Mr.,Word of mouth,Recycled,,,Kiara Rasmussen,E3 5DN,776-8709 Quis Street,463
Ms.,Partner,Converted,,,Fuller Duke,N6 3TU,"185-7812 Risus, Rd.",243
Mr.,Web Site,Converted,,,Darrel Barron,ZL15 1HL,142-1115 Pharetra Rd.,282
Mrs.,Web Site,Dead,,,Stephen Mcgee,G00 0VU,"P.O. Box 465, 6936 Libero Av.",328
Mr.,Self Generated,Converted,,,Shana Porter,P7L 1KZ,4719 Metus Ave,431
Mr.,Self Generated,In Process,,,Jayme Reed,M8 6TQ,"P.O. Box 768, 3226 Urna Rd.",44
Mrs.,Direct Mail,Recycled,,,Kaye Stafford,H2F 6JR,1148 Nullam Rd.,258
Ms.,Existing Customer,Converted,,,Nathaniel Guy,FI49 0LA,689-5733 Arcu. Road,284
Mrs.,Public Relations,In Process,,,Anne Jenkins,T20 2NS,"P.O. Box 377, 4781 Eros Avenue",91
Ms.,Trade Show,Converted,,,Isaac Kaufman,W8 9DP,Ap #199-9064 Iaculis Rd.,280
Mr.,Web Site,Converted,,,Hop Andrews,MS1 2KE,Ap #276-1206 Dui Rd.,219
Ms.,Web Site,Dead,,,Beck Acevedo,IA94 1BU,Ap #458-8822 Consectetuer Av.,350
Mrs.,Trade Show,Converted,,,Quon Callahan,H86 5QI,Ap #768-3933 Massa Av.,254
Ms.,Trade Show,Converted,,,Garth Anderson,XB14 8RH,7676 Enim. Rd.,62
Ms.,Web Site,Converted,,,Louis Wilder,L4W 3LS,7789 Augue Av.,286
Mrs.,Public Relations,In Process,,,Steven Fleming,E5 5RJ,7025 Sem St.,195
Mrs.,Other,Converted,,,Jaime Lindsey,SH6 5VD,"P.O. Box 457, 1115 Non, Road",404
Ms.,Email,Recycled,,,Hilel Rivers,EW2 5SR,"P.O. Box 141, 9429 Dapibus Rd.",268
Mrs.,Conference,Assigned,,,Mariam Pollard,N2 5IN,3192 Facilisis Ave,150
Mr.,Direct Mail,Recycled,,,Celeste Strickland,XH3 7KY,993-1292 Ac Rd.,263
Mr.,Campaign,Converted,,,Alexandra Nunez,DL13 6OT,Ap #990-6808 Inceptos St.,298
Mrs.,Campaign,Converted,,,Maile Miller,T4M 2IO,Ap #662-298 Posuere Rd.,90
Mr.,Trade Show,Dead,,,Stuart Robinson,VW8H 7YY,"P.O. Box 104, 4811 At St.",336
Ms.,Word of mouth,Recycled,,,Ignatius Clements,K8Z 0EH,2994 Enim St.,181
Ms.,Other,New,,,Benjamin Norton,CG1P 5UM,"P.O. Box 152, 4470 Mi Road",83
Mr.,Direct Mail,Dead,,,Jena Gallegos,O86 5LE,"1449 Elit, Rd.",148
Mr.,Existing Customer,Dead,,,Uriah Vincent,GG84 2QC,"P.O. Box 208, 8946 Sed Rd.",388
Mr.,Word of mouth,Recycled,,,Dexter Roach,O1 1ZA,Ap #311-2776 Justo Rd.,44
Mrs.,Word of mouth,New,,,Macey Kaufman,Y5 3CT,410-8140 Sit Rd.,408
Mr.,Cold Call,Assigned,,,Adam Strickland,I3 2VU,"5258 Sed, Ave",30
Ms.,Email,New,,,Dominic Hatfield,E9W 5IA,428-8816 Augue Rd.,402
Mrs.,Employee,New,,,Rajah Pope,V47 8RW,678-6454 Blandit Rd.,364
Ms.,Email,Converted,,,Cody Cooper,LD76 7VM,984-1454 Fusce Road,48
Ms.,Public Relations,New,,,Mari Logan,DC7 3ZQ,"P.O. Box 959, 3404 Nisi. Av.",379
Ms.,Email,Converted,,,Joel Holcomb,BZ91 1JT,291-931 Hendrerit Avenue,459
Mrs.,Cold Call,Converted,,,Hiram Ball,HL02 3XU,Ap #549-3144 Malesuada Rd.,373
Mr.,Email,Assigned,,,Brianna Simon,O0W 9DX,"P.O. Box 852, 9588 Ac Rd.",7
Ms.,Existing Customer,Converted,,,Aidan Clements,KZ93 4BT,"P.O. Box 240, 3761 Tincidunt, Rd.",212
Mr.,Public Relations,Dead,,,Anika Barlow,JJ7 5WP,"P.O. Box 501, 620 Et Rd.",288
Mrs.,Trade Show,Converted,,,Samson Valdez,P73 0PK,"P.O. Box 384, 8863 Tristique Avenue",140
Mrs.,Public Relations,Converted,,,Kane Wiley,E28 0HD,Ap #135-1993 Libero Ave,181
Mrs.,Cold Call,Assigned,,,Ora Madden,I99 5XV,"P.O. Box 383, 6873 Dis Rd.",486
Mr.,Trade Show,Converted,,,Madeson Morin,A55 2CI,Ap #377-4810 Erat St.,414
Ms.,Existing Customer,Converted,,,Wynne Wolf,QS0G 7YN,"P.O. Box 421, 9870 Velit Road",425
