LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Mr.,Public Relations,Converted,Dapibus Gravida Company,OPPORTUNITY-148,Gavin Nolan,396756,"P.O. Box 678, 2769 Donec Ave",298
Mrs.,Public Relations,Converted,Sed LLC,OPPORTUNITY-149,Craig Wolf,0615,"P.O. Box 560, 1862 Sodales St.",157
Mr.,Email,Converted,Pellentesque LLP,OPPORTUNITY-150,Wyatt Cruz,U1E 0CO,"996-4049 Posuere, Av.",455
Mrs.,Other,Converted,Curabitur Massa Vestibulum Consulting,OPPORTUNITY-151,Troy Mcpherson,26110,7118 Eget Road,394
Mrs.,Partner,Converted,Odio Corp.,OPPORTUNITY-152,Valentine Alvarado,319596,6708 Neque St.,157
Mrs.,Campaign,Converted,Tempor Ltd,OPPORTUNITY-153,Griffith Dunn,8880,3888 Arcu Street,188
Ms.,Conference,Converted,Sed Facilisis Incorporated,OPPORTUNITY-154,Richard Frazier,71517,"P.O. Box 162, 7311 Pharetra, Rd.",361
Mr.,Campaign,Converted,Vestibulum Massa Consulting,OPPORTUNITY-155,Mark Medina,89950,284-9632 Ligula. St.,254
Mrs.,Campaign,Converted,Odio Aliquam Vulputate Corp.,OPPORTUNITY-156,Amir Skinner,67454-363,889-2394 Arcu Rd.,497
Ms.,Employee,Converted,Sociis Natoque LLC,OPPORTUNITY-157,Risa Beard,V6K 1B1,3032 Purus Ave,381
Mrs.,Public Relations,Converted,Scelerisque Scelerisque Dui Industries,OPPORTUNITY-158,Adara Gay,660068,388-3851 Neque Street,478
Mr.,Public Relations,Converted,Et Corp.,OPPORTUNITY-159,Briar Clemons,26469,Ap #655-9798 Et Ave,345
Mrs.,Web Site,Converted,Pellentesque A Facilisis Associates,OPPORTUNITY-160,Maile Ewing,114649,"P.O. Box 412, 3027 Diam Ave",12
Ms.,Direct Mail,Converted,Posuere Vulputate Corporation,OPPORTUNITY-161,Kylynn Pierce,238422,159-4373 Quis Avenue,134
Mrs.,Employee,Converted,Amet Diam Consulting,OPPORTUNITY-162,Alexandra Rasmussen,881533,437-9171 Tempus Ave,486
Mrs.,Conference,Converted,Gravida Sagittis LLP,OPPORTUNITY-163,Brianna Jones,482230,4500 Nec St.,121
Mrs.,Campaign,Converted,Cras Vulputate Industries,OPPORTUNITY-164,Jelani Jordan,9976,9495 Sed Ave,33
Ms.,Direct Mail,Converted,Fringilla Est Inc.,OPPORTUNITY-165,Summer Pena,7711 YL,587-8079 Lectus St.,9
Mrs.,Campaign,Converted,Vel Turpis Institute,OPPORTUNITY-166,Victoria Rios,357145,Ap #878-4365 Natoque Avenue,399
Mr.,Trade Show,Converted,Porttitor Tellus Non PC,OPPORTUNITY-167,Vincent Bray,B8B 3E7,7531 Blandit Rd.,78
Ms.,Cold Call,Converted,Pede Ultrices A LLC,OPPORTUNITY-168,Maile Hogan,279216,882-1163 In Rd.,341
Mrs.,Web Site,Converted,Fringilla Porttitor Vulputate Foundation,OPPORTUNITY-169,Jaime York,4687,123-2002 Magna. Rd.,439
Mr.,Email,Converted,Donec Nibh Enim Industries,OPPORTUNITY-170,Prescott Ross,55077,"P.O. Box 748, 8211 Sem Av.",39
Mr.,Conference,Converted,Ante Ipsum Primis Consulting,OPPORTUNITY-171,Blake Hayes,42644,"129-8222 Vitae, St.",506
Ms.,Trade Show,Converted,Auctor Non Feugiat Ltd,OPPORTUNITY-172,Halla Jarvis,Z8099,"P.O. Box 518, 601 Vel, Ave",352
Mrs.,Trade Show,Converted,Ac Feugiat Non Incorporated,OPPORTUNITY-173,Lynn Love,4616 ZD,"P.O. Box 552, 9217 Sodales. Street",24
Mr.,Word of mouth,Converted,Vestibulum Nec LLC,OPPORTUNITY-174,Brynn Horne,791153,"P.O. Box 656, 8060 Adipiscing Ave",168
Mrs.,Direct Mail,Converted,Et Limited,OPPORTUNITY-175,Mechelle Gonzales,12656,5504 Sit Avenue,231
Mrs.,Direct Mail,Converted,Mauris Rhoncus Institute,OPPORTUNITY-176,Armando Lopez,67107,600-9004 Aliquam Av.,434
Ms.,Public Relations,Converted,Libero Donec Consectetuer LLP,OPPORTUNITY-177,Seth Riley,785039,2723 Aliquet St.,266
Mrs.,Existing Customer,Converted,Felis Company,OPPORTUNITY-178,Jena Hayes,6513 RD,317 Lacus. Road,471
Mrs.,Email,Converted,Mauris Company,OPPORTUNITY-179,Dakota Patton,364361,7422 Bibendum Rd.,257
Mrs.,Partner,Converted,Urna Nec Institute,OPPORTUNITY-180,Julian Dunn,18732,7673 Vitae Ave,427
Mrs.,Web Site,Converted,Adipiscing Inc.,OPPORTUNITY-181,Duncan Whitehead,34003,7475 Faucibus Street,213
Mrs.,Employee,Converted,Risus In Mi Foundation,OPPORTUNITY-182,Blythe Gould,78814,"P.O. Box 723, 200 Nulla Rd.",405
Mrs.,Employee,Converted,Ante Ipsum Incorporated,OPPORTUNITY-183,Wallace Thompson,85210-877,436-9852 Nullam Street,267
Mr.,Existing Customer,Converted,Parturient Montes PC,OPPORTUNITY-184,Xaviera Moon,Z8909,"P.O. Box 488, 4472 Cum Ave",350
Mr.,Trade Show,Converted,Facilisis Vitae Inc.,OPPORTUNITY-185,Calista Vang,806141,"P.O. Box 461, 9531 Imperdiet, Rd.",72
Mr.,Existing Customer,Converted,Primis In Faucibus LLP,OPPORTUNITY-186,Lewis Cunningham,95967,Ap #454-8873 Tempor St.,40
Mr.,Employee,Converted,Eu Odio Corporation,OPPORTUNITY-187,Chancellor Cooke,6452,Ap #126-3173 Gravida Rd.,145
Ms.,Existing Customer,Converted,Urna Convallis Erat Incorporated,OPPORTUNITY-188,Jermaine Bowen,631841,638-6966 Egestas Rd.,162
Ms.,Partner,Converted,Enim Mauris Quis LLP,OPPORTUNITY-189,Rebekah Hatfield,33386,"383-5355 Ullamcorper, Avenue",493
Mrs.,Partner,Converted,Ante Ipsum Primis Associates,OPPORTUNITY-190,Xanthus Nielsen,9988,365-5172 Ut St.,455
Mrs.,Trade Show,Converted,Orci Incorporated,OPPORTUNITY-191,Xyla Stuart,49029,410-5718 Amet St.,380
Mr.,Direct Mail,Converted,Justo Consulting,OPPORTUNITY-192,Declan Mack,25732,"569-3479 Ac, Ave",488
Mr.,Other,Converted,Bibendum Fermentum Metus Corporation,OPPORTUNITY-193,Signe Petty,967278,Ap #845-7217 Consectetuer St.,207
Mr.,Direct Mail,Converted,Fames Ac Turpis Corporation,OPPORTUNITY-194,Anthony Duke,307374,Ap #945-4454 Facilisis Av.,93
Ms.,Cold Call,Converted,Erat Etiam Vestibulum Associates,OPPORTUNITY-195,Lenore Hoover,252936,Ap #337-9255 Ultricies Road,28
Mrs.,Trade Show,Converted,In Tempus Eu Industries,OPPORTUNITY-196,Macey Drake,Z3771,"P.O. Box 584, 5033 Ipsum St.",266
Mrs.,Direct Mail,Converted,Sociosqu Ad Company,OPPORTUNITY-197,Jerome Puckett,36964,"P.O. Box 777, 9447 Ac Rd.",175
Mr.,Conference,Converted,Sapien Aenean Ltd,OPPORTUNITY-198,Zahir Burks,82794,"5994 Congue, Ave",520
Mr.,Partner,Converted,Velit Ltd,OPPORTUNITY-199,Mira Blair,06288,253-594 Elit Street,142
