LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Mr.,Other,Recycled,,,Vance Baird,51910,"P.O. Box 581, 8626 Suspendisse St.",510
Mr.,Web Site,Recycled,,,Reuben Marquez,761451,"P.O. Box 464, 4981 Vitae, St.",130
Mrs.,Conference,In Process,,,Charity Moreno,20565,528-7585 Integer Avenue,36
Mr.,Self Generated,In Process,,,Palmer Neal,796493,781 Metus St.,348
Mr.,Web Site,Assigned,,,Daniel Cotton,06927,Ap #910-3386 Fringilla St.,345
Mrs.,Campaign,Recycled,,,Nissim Peters,49621,Ap #129-1596 Fermentum Road,148
Mr.,Employee,Dead,,,Caleb Rogers,7408,"Ap #348-1806 Scelerisque, St.",152
Ms.,Partner,In Process,,,Ronan Chang,3254 VV,"684 Sed, St.",314
Mr.,Word of mouth,Assigned,,,Wynne Valentine,74658,149-1140 Neque. Avenue,150
Ms.,Trade Show,In Process,,,Hanna Terry,Z9141,Ap #229-6730 Sed St.,22
Mrs.,Trade Show,In Process,,,Brennan Cannon,875756,3393 Ornare Road,460
Ms.,Cold Call,Dead,,,Daryl Blevins,871214,843-5165 Leo St.,339
Mr.,Campaign,In Process,,,Camille Carter,36158,"P.O. Box 968, 6103 Sit St.",454
Ms.,Trade Show,Recycled,,,Dominic Armstrong,51211-160,987-3460 Mi Rd.,331
Mrs.,Cold Call,Dead,,,Isaac Webb,21512,"Ap #437-2555 In, Rd.",462
Ms.,Cold Call,In Process,,,Serina Howell,1344,"P.O. Box 940, 5273 Feugiat Rd.",286
Ms.,Email,In Process,,,Blaze Marshall,28600,"P.O. Box 572, 627 Consectetuer, St.",501
Mrs.,Self Generated,In Process,,,Freya Joyner,705377,"P.O. Box 908, 2674 Scelerisque Av.",518
Mr.,Email,Dead,,,Caesar Glover,72770,"516-1362 Et, Rd.",252
Mr.,Direct Mail,Dead,,,Garrison Olson,34821-04298,3914 Cras Rd.,84
Ms.,Employee,Recycled,,,Palmer Miranda,24349,"Ap #921-4847 Id, St.",63
Ms.,Trade Show,Recycled,,,Mari Levine,86398,4070 Ridiculus Street,334
Mrs.,Employee,In Process,,,Barclay Holden,L96 8HT,897 Dui St.,480
Ms.,Conference,Dead,,,Hall Leonard,57794,5226 Donec St.,429
Mr.,Conference,Dead,,,Quon Moran,77370,Ap #843-1233 Viverra. Road,297
Mrs.,Conference,Dead,,,Otto Berger,5658,360-5033 Risus. Ave,244
Mrs.,Existing Customer,Dead,,,Jorden Trujillo,38109,6253 Sit St.,209
Mr.,Other,Assigned,,,Abigail Osborne,75880,"P.O. Box 311, 9069 Lorem, Avenue",198
Mrs.,Self Generated,In Process,,,Quinlan Finch,Z2775,Ap #112-3425 Imperdiet Rd.,55
Mrs.,Partner,In Process,,,John Guerrero,07286,747-1051 Nullam Rd.,100
Mr.,Partner,Recycled,,,Kiara Salazar,32650,"P.O. Box 815, 3100 Ullamcorper Rd.",220
Mrs.,Self Generated,Assigned,,,Craig Flores,69594,195-8716 Sed Rd.,107
Ms.,Email,Assigned,,,Maite Frederick,6323,964-1212 Nulla. St.,293
Mr.,Trade Show,Assigned,,,Fritz Moody,47317,"P.O. Box 446, 4677 Tellus Rd.",29
Mr.,Other,Recycled,,,Hedwig Kim,K9S 9S8,Ap #767-6526 Arcu Road,177
Mrs.,Employee,In Process,,,Maisie Bradshaw,47529,"P.O. Box 101, 7477 Velit St.",510
Mrs.,Conference,In Process,,,Dakota Chaney,96052,"736-147 Tellus, St.",170
Mrs.,Self Generated,In Process,,,Tyrone Guthrie,C0F 6FP,8806 Leo. Avenue,334
Ms.,Direct Mail,Dead,,,Colin Jennings,054027,1059 Tincidunt Avenue,474
Mr.,Email,Dead,,,Simon Roberson,Z2709,"P.O. Box 202, 3898 Enim. St.",231
Mr.,Partner,Dead,,,Cyrus Stephens,4044,"479-2516 Nunc, Street",351
Mr.,Direct Mail,Dead,,,Leila Stevens,80918,1078 Morbi Av.,216
Mrs.,Campaign,Recycled,,,Erin Reilly,7711,8924 Metus Rd.,186
Mrs.,Web Site,Recycled,,,Rajah Mendez,00545,675-3726 Pretium Av.,137
Mrs.,Other,Dead,,,Hayden Fulton,710544,"P.O. Box 595, 6497 Nec, Street",34
Mr.,Existing Customer,In Process,,,Roth Gross,174677,"P.O. Box 733, 9019 Sed St.",221
Mrs.,Email,Recycled,,,Alma Brown,875015,"P.O. Box 185, 6246 Mauris St.",66
Mrs.,Trade Show,In Process,,,Sophia Rush,2983,Ap #169-1340 In Street,242
Mrs.,Direct Mail,Dead,,,Selma Orr,11598,"558-6212 Vulputate, Av.",371
Ms.,Other,Assigned,,,Fleur Collier,R5X 4C9,"P.O. Box 457, 3457 Aenean Road",348
Mrs.,Public Relations,Assigned,,,Cyrus Byrd,637272,"P.O. Box 326, 1001 Velit Road",267
Mr.,Email,Recycled,,,Kenyon Robles,284369,9567 Non Rd.,179
Ms.,Word of mouth,Dead,,,Elvis Patel,Z5765,Ap #579-9026 Tellus Road,251
Ms.,Other,Recycled,,,Giacomo Chase,35088,"P.O. Box 935, 8798 Tellus. Road",372
Ms.,Public Relations,Assigned,,,Gary Hoover,930605,164-1944 Inceptos Rd.,334
Ms.,Conference,Recycled,,,Gareth Moran,39404,"P.O. Box 790, 331 Elit St.",299
Ms.,Existing Customer,Dead,,,Madeline Beard,1945,Ap #570-3950 Pellentesque Ave,388
Mrs.,Other,Recycled,,,Reece Golden,563685,"P.O. Box 910, 6672 Nulla. St.",514
Mr.,Partner,Recycled,,,Bruno Harmon,64243,671-1413 Consequat Road,211
Ms.,Employee,Dead,,,Courtney Sharpe,31619,Ap #601-9402 Vitae Street,142
Mrs.,Public Relations,Recycled,,,Alexis Beard,938472,686-375 Augue St.,350
Mr.,Cold Call,Assigned,,,Wynne Reynolds,2881,427-1488 Tellus St.,307
Mrs.,Web Site,In Process,,,Declan Whitaker,4655,163-9845 Id Rd.,320
Mrs.,Web Site,Dead,,,Jonas Fields,790347,Ap #426-8874 Fringilla Rd.,299
Mr.,Campaign,Assigned,,,Mannix Dawson,84747,824-3071 Sagittis St.,348
Mr.,Conference,Assigned,,,Mariko Cobb,28647,9245 Nunc St.,390
