LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Mrs.,Campaign,Recycled,",",",",Preston Emerson,59338,Ap #164-2556 Nibh St.,322
Ms.,Word of mouth,Recycled,",",",",Jelani Dunlap,786641,759-4949 Molestie Avenue,60
Mrs.,Public Relations,Recycled,",",",",Paul Page,4469 OE,9978 Tempor Rd.,85
Mrs.,Direct Mail,Recycled,",",",",Jescie Rice,491183,4658 Ligula. Street,397
Ms.,Direct Mail,Recycled,",",",",Denise Roberson,096483,"P.O. Box 765, 2423 Velit Rd.",482
Ms.,Other,Dead,",",",",Oren Patterson,972580,9487 Duis Rd.,8
Mr.,Direct Mail,In Process,",",",",Felix Spencer,49098-78971,"P.O. Box 154, 7497 Feugiat Road",443
Ms.,Web Site,Assigned,",",",",Trevor Copeland,292422,282-360 Volutpat Av.,425
Ms.,Word of mouth,In Process,",",",",Isaiah Dotson,2766,Ap #869-7430 Non St.,40
Mrs.,Trade Show,Dead,",",",",Nathan Key,85044,"P.O. Box 499, 8497 Sem Av.",102
Ms.,Direct Mail,In Process,",",",",Anne Carroll,29142,Ap #524-6515 Tempor Road,265
Mrs.,Public Relations,Assigned,",",",",Lael Bell,7417,465-6979 Aliquam Avenue,398
Mr.,Public Relations,Dead,",",",",Audrey Valencia,H97 0MG,"P.O. Box 407, 5914 Aliquet. Street",267
Mr.,Trade Show,Assigned,",",",",Clio Arnold,33727,341-1811 Vitae Street,441
Mr.,Other,Assigned,",",",",Mia Bass,7451,328 Nulla. Street,330
Mrs.,Trade Show,Recycled,",",",",Thane King,C2 6QN,"P.O. Box 775, 472 Gravida Av.",129
Ms.,Direct Mail,In Process,",",",",Rudyard Fox,892016,5656 Egestas. Rd.,505
Mrs.,Other,Recycled,",",",",Deacon Lindsey,Z8402,Ap #857-3870 Curabitur Road,481
Mr.,Existing Customer,Dead,",",",",Renee Robinson,6209,7407 Ac Av.,203
Mr.,Existing Customer,Assigned,",",",",Aaron Howard,226567,493-9900 Suspendisse Rd.,313
Mrs.,Conference,Recycled,",",",",Haviva Daugherty,S5C 4J2,Ap #980-5009 Egestas. Street,90
Mr.,Cold Call,Assigned,",",",",Isaac Delgado,910615,"P.O. Box 945, 9052 Enim. St.",127
Mr.,Email,Dead,",",",",Emily Joseph,PM3V 6WQ,"186-6745 Nec, Ave",340
Ms.,Word of mouth,Assigned,",",",",Sigourney Torres,23-066,"P.O. Box 464, 3519 Placerat Av.",297
Mr.,Other,Recycled,",",",",Doris Phillips,403181,Ap #447-240 Malesuada St.,381
Mr.,Self Generated,Recycled,",",",",Reuben Shelton,06718,Ap #634-1503 Dui. Rd.,402
Mrs.,Existing Customer,In Process,",",",",Shannon Davidson,18570,"P.O. Box 328, 406 Nisl. Avenue",268
Mr.,Trade Show,Dead,",",",",Courtney Rogers,36696,Ap #610-1574 In Road,99
Mrs.,Direct Mail,Assigned,",",",",Lael Mosley,97-692,8680 Nec Av.,118
Mr.,Partner,Dead,",",",",Ryder Baker,Z2428,"P.O. Box 394, 3415 Diam Rd.",470
Ms.,Email,Assigned,",",",",Melissa Figueroa,80195,Ap #920-515 Malesuada Av.,325
Ms.,Existing Customer,Dead,",",",",Stacey Sargent,03861-671,"P.O. Box 919, 6374 Purus Road",387
Mr.,Public Relations,Recycled,",",",",Delilah Wall,67862,Ap #410-529 Feugiat. Street,414
Ms.,Conference,Assigned,",",",",Nerea Parks,30052,"P.O. Box 647, 323 Parturient Av.",530
Mrs.,Trade Show,Assigned,",",",",Sloane Norris,496731,564-3057 Non Street,449
Mrs.,Cold Call,Assigned,",",",",Wayne Johnston,50-512,2475 Tellus Rd.,66
Ms.,Email,Assigned,",",",",Kuame Nielsen,11017,Ap #518-5696 Consequat Ave,384
Mrs.,Word of mouth,In Process,",",",",Ursula Mullins,80844,Ap #777-6955 Ac Road,451
Mr.,Existing Customer,In Process,",",",",Shannon Goff,122343,Ap #987-8734 Proin St.,93
Mrs.,Public Relations,In Process,",",",",Vincent Blackwell,S2P 3R4,"P.O. Box 802, 8648 Tincidunt St.",211
Mr.,Campaign,In Process,",",",",Kevin Gross,001266,636-346 Mattis Rd.,66
Ms.,Partner,Dead,",",",",Simon Chavez,149660,7737 Aliquam Ave,323
Ms.,Campaign,In Process,",",",",Ezra Aguilar,62869-538,"P.O. Box 875, 7094 Ut Road",429
Mrs.,Campaign,Dead,",",",",Deirdre Tucker,W59 8EZ,Ap #222-9020 Rutrum Rd.,332
Ms.,Campaign,Recycled,",",",",Neve Wiley,45265,466-821 Euismod Avenue,341
Mr.,Direct Mail,Recycled,",",",",Kieran Vance,68496,"P.O. Box 476, 9639 Orci, Rd.",108
Mr.,Existing Customer,Dead,",",",",Paki Robertson,7844 PS,649-5229 Rhoncus. Rd.,232
Ms.,Campaign,Dead,",",",",Finn Herring,15805,7779 Ipsum Ave,448
Mrs.,Cold Call,Recycled,",",",",Holly Hodge,286888,Ap #301-6548 Diam St.,127
Mr.,Self Generated,Recycled,",",",",Lila Sheppard,10919,"P.O. Box 315, 3841 A Avenue",302
Mr.,Existing Customer,Recycled,",",",",Gretchen Cantrell,Z5869,"P.O. Box 708, 2169 Non St.",360
Ms.,Campaign,Dead,",",",",Kibo Lindsey,954643,"P.O. Box 251, 5998 Tincidunt, Rd.",120
Ms.,Campaign,In Process,",",",",Elijah Kidd,689762,"Ap #208-2941 Non, Street",41
Mr.,Self Generated,Assigned,",",",",Gannon Strong,A9 5TI,Ap #526-2221 Donec St.,317
Mrs.,Conference,Assigned,",",",",Kaye Crawford,1379,"P.O. Box 338, 3861 Erat, Road",274
Ms.,Partner,In Process,",",",",Kylan Kline,Z2831,Ap #865-6957 Curabitur Street,505
Ms.,Public Relations,Dead,",",",",Belle Ross,27708,"Ap #918-5776 Montes, St.",302
Mr.,Conference,In Process,",",",",Jasper Newton,76678,Ap #765-8001 Phasellus Ave,269
Mrs.,Employee,Recycled,",",",",Ori Erickson,44720,116-3259 Lacus. Road,88
Mrs.,Partner,Dead,",",",",Castor Rose,3186,908-6535 Et Road,100
Mrs.,Employee,Dead,",",",",Ivan Durham,X8B 7G0,734-6359 Ut Av.,236
Mr.,Partner,In Process,",",",",Dalton Russo,557973,"Ap #410-2841 Quis, Rd.",371
Ms.,Employee,In Process,",",",",Justina Meadows,5047 HB,"P.O. Box 652, 2267 Mattis St.",525
Ms.,Word of mouth,Recycled,",",",",Garrison Nguyen,92545-68211,"654-2589 A, Street",343
Ms.,Trade Show,Assigned,",",",",Mikayla Harrell,1416,680-5375 Lobortis Road,46
