LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Mr.,Email,Recycled,",",",",Nash Gonzales,S6G 3R8,"P.O. Box 538, 775 Aliquet Ave",111
Mr.,Word of mouth,Recycled,",",",",Caryn Horne,429848,Ap #286-683 Non Av.,287
Mr.,Cold Call,Dead,",",",",Mari Sweeney,500267,Ap #665-1744 Hendrerit St.,27
Ms.,Direct Mail,In Process,",",",",Ira Carter,7667 EI,166-7546 Risus Avenue,129
Ms.,Existing Customer,Dead,",",",",Kaseem Little,22083,891-6241 Elit Street,485
Mrs.,Existing Customer,Recycled,",",",",Jameson Navarro,57173-14172,734-6659 Phasellus Rd.,405
Mrs.,Employee,Assigned,",",",",Elijah Hooper,40-354,2325 Auctor Rd.,306
Mr.,Trade Show,Assigned,",",",",Indira Burke,57-450,"P.O. Box 732, 2479 Diam. Avenue",107
Ms.,Other,Assigned,",",",",Jennifer Hughes,19979,Ap #486-3099 Penatibus Road,79
Mr.,Employee,Dead,",",",",Madaline Obrien,57932,Ap #776-4453 Ligula Av.,357
Mrs.,Employee,Dead,",",",",Jakeem Stevenson,4457 VP,494-694 Imperdiet Avenue,472
Mr.,Partner,Assigned,",",",",Kirsten Tyson,80638,"P.O. Box 868, 2223 Felis Rd.",191
Mrs.,Campaign,Dead,",",",",Harlan Wilkinson,47183-02576,423-1205 Cursus Street,114
Mr.,Existing Customer,In Process,",",",",Aspen Byers,22658,"P.O. Box 707, 8414 Neque Road",185
Ms.,Conference,Assigned,",",",",Alden Pittman,8702,833-7763 Ridiculus Rd.,43
Mrs.,Self Generated,In Process,",",",",Chadwick Harmon,7269,9560 Ac Rd.,476
Mrs.,Public Relations,Recycled,",",",",Jenette Mathews,4034,Ap #823-3422 Dictum Rd.,134
Ms.,Self Generated,In Process,",",",",Kevin Hurst,72459,7196 In Rd.,27
Mrs.,Conference,Dead,",",",",Rosalyn Riley,139441,7277 Nisl. Avenue,55
Ms.,Self Generated,Dead,",",",",Tashya Head,40745,Ap #233-429 Convallis Av.,253
Mr.,Partner,In Process,",",",",Cameron French,71446,271-3401 Erat Street,40
Ms.,Conference,In Process,",",",",Mannix Phillips,543130,508-9186 Velit St.,110
Mr.,Direct Mail,Assigned,",",",",Chancellor Madden,317079,"P.O. Box 826, 6969 Velit Rd.",165
Mrs.,Partner,Dead,",",",",Walker Parrish,G4B 9X7,625-7617 Donec Road,198
Ms.,Word of mouth,Dead,",",",",Chloe Cruz,30566,Ap #809-962 Commodo Ave,412
Mr.,Word of mouth,Dead,",",",",Charlotte Key,08748-64095,Ap #230-5393 Quam Road,452
Ms.,Partner,Dead,",",",",Stacy Newton,Z9386,Ap #828-4296 Sodales Road,164
Mr.,Public Relations,Recycled,",",",",Cameron Gutierrez,M3C 2A3,"P.O. Box 264, 6335 Fermentum Av.",302
Ms.,Campaign,Dead,",",",",Logan Keith,45246-49473,"P.O. Box 284, 4801 Adipiscing St.",267
Ms.,Campaign,Assigned,",",",",Kendall Dale,6147 KO,"P.O. Box 947, 748 Mauris St.",438
Mr.,Trade Show,Assigned,",",",",Reuben Snyder,2706,"P.O. Box 650, 6637 Consectetuer St.",227
Mr.,Campaign,In Process,",",",",Bernard Terrell,Z1874,"P.O. Box 890, 3286 Praesent Rd.",205
Mrs.,Trade Show,Assigned,",",",",Walker Tate,424346,528-4583 Libero. Ave,465
Mrs.,Trade Show,In Process,",",",",Lewis Solomon,304576,"8881 Sed, St.",494
Mr.,Cold Call,Dead,",",",",Rebecca Baldwin,L9G 1T7,8069 Pharetra Ave,308
Mr.,Existing Customer,In Process,",",",",Martena Velazquez,09092,Ap #841-926 Euismod Road,415
Mr.,Public Relations,Assigned,",",",",Maryam Glass,71997,280-1757 Integer Road,409
Ms.,Campaign,Assigned,",",",",Astra Wynn,11704,Ap #409-8895 Felis Rd.,422
Mrs.,Partner,In Process,",",",",Catherine Baird,J2Z 2UL,514-7299 Ipsum St.,506
Mr.,Self Generated,Recycled,",",",",Ashton May,78732,"822-475 Purus, Road",390
Mrs.,Self Generated,Recycled,",",",",Petra Dean,L7E 3G7,"P.O. Box 815, 8273 Magna. St.",329
Ms.,Partner,In Process,",",",",Kennan Jordan,01-477,"P.O. Box 282, 4035 Suspendisse Av.",408
Mr.,Employee,Recycled,",",",",Miranda Manning,16734,Ap #655-1815 Ipsum Street,395
Mrs.,Campaign,In Process,",",",",Damian Trujillo,9196 SS,995-7885 Ac Street,81
Ms.,Email,Recycled,",",",",Stacey Phelps,11223,"P.O. Box 526, 3796 Suscipit, St.",54
Ms.,Public Relations,Recycled,",",",",Adena Edwards,19002,167-7752 Morbi Rd.,414
Ms.,Direct Mail,Assigned,",",",",Cade Velasquez,7409,221 Scelerisque Av.,398
